ACTUAL,pr_out1,pr_out2,pr_out3,pr_out4,pr_out5,pr_out6,pr_out7,pr_out8,pr_out9,pr_out10,average output,error,% error
84,68,68,68,68,68,68,68,68,68,68,68,0.19047619,19.04761905
83,68,68,68,68,68,68,68,68,68,68,68,0.180722892,18.07228916
84,86,86,86,86,86,86,86,86,86,86,86,0.023809524,2.380952381
84,86,86,86,86,86,86,86,86,86,86,86,0.023809524,2.380952381
84,86,86,86,86,86,86,86,86,86,86,86,0.023809524,2.380952381
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,68,68,68,68,68,68,68,68,68,68,68,0.209302326,20.93023256
86,68,68,68,68,68,68,68,68,68,68,68,0.209302326,20.93023256
86,86,86,86,86,86,86,86,86,86,86,86,0,0
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
86,86,86,86,86,86,86,86,86,86,86,86,0,0
88,68,68,68,68,68,68,68,68,68,68,68,0.227272727,22.72727273
89,68,68,68,68,68,68,68,68,68,68,68,0.235955056,23.59550562
88,68,68,68,68,68,68,68,68,68,68,68,0.227272727,22.72727273
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
89,68,68,68,68,68,68,68,68,68,68,68,0.235955056,23.59550562
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,86,86,86,86,86,86,86,86,86,86,86,0,0
84,86,86,86,86,86,86,86,86,86,86,86,0.023809524,2.380952381
86,68,68,68,68,68,68,68,68,68,68,68,0.209302326,20.93023256
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,68,68,68,68,68,68,68,68,68,68,68,0.209302326,20.93023256
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,68,68,68,68,68,68,68,68,68,68,68,0.209302326,20.93023256
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
82,86,86,86,86,86,86,86,86,86,86,86,0.048780488,4.87804878
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,68,68,68,68,68,68,68,68,68,68,68,0.209302326,20.93023256
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,86,86,86,86,86,86,86,86,86,86,86,0,0
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
81,86,86,86,86,86,86,86,86,86,86,86,0.061728395,6.172839506
86,68,68,68,68,68,68,68,68,68,68,68,0.209302326,20.93023256
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
89,86,86,86,86,86,86,86,86,86,86,86,0.033707865,3.370786517
90,68,68,68,68,68,68,68,68,68,68,68,0.244444444,24.44444444
91,86,86,86,86,86,86,86,86,86,86,86,0.054945055,5.494505495
84,68,68,68,68,68,68,68,68,68,68,68,0.19047619,19.04761905
84,86,86,86,86,86,86,86,86,86,86,86,0.023809524,2.380952381
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,86,86,86,86,86,86,86,86,86,86,86,0,0
88,68,68,68,68,68,68,68,68,68,68,68,0.227272727,22.72727273
88,68,68,68,68,68,68,68,68,68,68,68,0.227272727,22.72727273
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
86,86,86,86,86,86,86,86,86,86,86,86,0,0
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
89,68,68,68,68,68,68,68,68,68,68,68,0.235955056,23.59550562
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
87,86,86,86,86,86,86,86,86,86,86,86,0.011494253,1.149425287
88,68,68,68,68,68,68,68,68,68,68,68,0.227272727,22.72727273
86,68,68,68,68,68,68,68,68,68,68,68,0.209302326,20.93023256
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
84,68,68,68,68,68,68,68,68,68,68,68,0.19047619,19.04761905
86,68,68,68,68,68,68,68,68,68,68,68,0.209302326,20.93023256
86,68,68,68,68,68,68,68,68,68,68,68,0.209302326,20.93023256
86,86,86,86,86,86,86,86,86,86,86,86,0,0
80,68,68,68,68,68,68,68,68,68,68,68,0.15,15
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
78,68,68,68,68,68,68,68,68,68,68,68,0.128205128,12.82051282
80,68,68,68,68,68,68,68,68,68,68,68,0.15,15
82,68,68,68,68,68,68,68,68,68,68,68,0.170731707,17.07317073
82,86,86,86,86,86,86,86,86,86,86,86,0.048780488,4.87804878
81,86,86,86,86,86,86,86,86,86,86,86,0.061728395,6.172839506
83,86,86,86,86,86,86,86,86,86,86,86,0.036144578,3.614457831
83,86,86,86,86,86,86,86,86,86,86,86,0.036144578,3.614457831
83,86,86,86,86,86,86,86,86,86,86,86,0.036144578,3.614457831
83,68,68,68,68,68,68,68,68,68,68,68,0.180722892,18.07228916
83,86,86,86,86,86,86,86,86,86,86,86,0.036144578,3.614457831
83,68,68,68,68,68,68,68,68,68,68,68,0.180722892,18.07228916
82,86,86,86,86,86,86,86,86,86,86,86,0.048780488,4.87804878
81,68,68,68,68,68,68,68,68,68,68,68,0.160493827,16.04938272
79,86,86,86,86,86,86,86,86,86,86,86,0.088607595,8.860759494
82,86,86,86,86,86,86,86,86,86,86,86,0.048780488,4.87804878
76,86,86,86,86,86,86,86,86,86,86,86,0.131578947,13.15789474
74,68,68,68,68,68,68,68,68,68,68,68,0.081081081,8.108108108
80,68,68,68,68,68,68,68,68,68,68,68,0.15,15
82,68,68,68,68,68,68,68,68,68,68,68,0.170731707,17.07317073
82,68,68,68,68,68,68,68,68,68,68,68,0.170731707,17.07317073
82,68,68,68,68,68,68,68,68,68,68,68,0.170731707,17.07317073
83,86,86,86,86,86,86,86,86,86,86,86,0.036144578,3.614457831
82,86,86,86,86,86,86,86,86,86,86,86,0.048780488,4.87804878
79,86,86,86,86,86,86,86,86,86,86,86,0.088607595,8.860759494
80,86,86,86,86,86,86,86,86,86,86,86,0.075,7.5
78,68,68,68,68,68,68,68,68,68,68,68,0.128205128,12.82051282
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
77,86,86,86,86,86,86,86,86,86,86,86,0.116883117,11.68831169
75,86,86,86,86,86,86,86,86,86,86,86,0.146666667,14.66666667
77,86,86,86,86,86,86,86,86,86,86,86,0.116883117,11.68831169
77,68,68,68,68,68,68,68,68,68,68,68,0.116883117,11.68831169
77,86,86,86,86,86,86,86,86,86,86,86,0.116883117,11.68831169
76,86,86,86,86,86,86,86,86,86,86,86,0.131578947,13.15789474
77,86,86,86,86,86,86,86,86,86,86,86,0.116883117,11.68831169
80,68,68,68,68,68,68,68,68,68,68,68,0.15,15
79,86,86,86,86,86,86,86,86,86,86,86,0.088607595,8.860759494
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
75,68,68,68,68,68,68,68,68,68,68,68,0.093333333,9.333333333
73,86,86,86,86,86,86,86,86,86,86,86,0.178082192,17.80821918
76,86,86,86,86,86,86,86,86,86,86,86,0.131578947,13.15789474
74,68,68,68,68,68,68,68,68,68,68,68,0.081081081,8.108108108
75,68,68,68,68,68,68,68,68,68,68,68,0.093333333,9.333333333
75,68,68,68,68,68,68,68,68,68,68,68,0.093333333,9.333333333
74,68,68,68,68,68,68,68,68,68,68,68,0.081081081,8.108108108
75,86,86,86,86,86,86,86,86,86,86,86,0.146666667,14.66666667
78,68,68,68,68,68,68,68,68,68,68,68,0.128205128,12.82051282
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
75,68,68,68,68,68,68,68,68,68,68,68,0.093333333,9.333333333
74,86,86,86,86,86,86,86,86,86,86,86,0.162162162,16.21621622
76,86,86,86,86,86,86,86,86,86,86,86,0.131578947,13.15789474
75,68,68,68,68,68,68,68,68,68,68,68,0.093333333,9.333333333
74,86,86,86,86,86,86,86,86,86,86,86,0.162162162,16.21621622
72,86,86,86,86,86,86,86,86,86,86,86,0.194444444,19.44444444
72,86,86,86,86,86,86,86,86,86,86,86,0.194444444,19.44444444
74,86,86,86,86,86,86,86,86,86,86,86,0.162162162,16.21621622
71,68,68,68,68,68,68,68,68,68,68,68,0.042253521,4.225352113
72,86,86,86,86,86,86,86,86,86,86,86,0.194444444,19.44444444
72,86,86,86,86,86,86,86,86,86,86,86,0.194444444,19.44444444
72,68,68,68,68,68,68,68,68,68,68,68,0.055555556,5.555555556
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
73,68,68,68,68,68,68,68,68,68,68,68,0.068493151,6.849315068
72,68,68,68,68,68,68,68,68,68,68,68,0.055555556,5.555555556
73,68,68,68,68,68,68,68,68,68,68,68,0.068493151,6.849315068
72,68,68,68,68,68,68,68,68,68,68,68,0.055555556,5.555555556
75,86,86,86,86,86,86,86,86,86,86,86,0.146666667,14.66666667
70,86,86,86,86,86,86,86,86,86,86,86,0.228571429,22.85714286
65,86,86,86,86,86,86,86,86,86,86,86,0.323076923,32.30769231
64,86,86,86,86,86,86,86,86,86,86,86,0.34375,34.375
66,68,68,68,68,68,68,68,68,68,68,68,0.03030303,3.03030303
67,68,68,68,68,68,68,68,68,68,68,68,0.014925373,1.492537313
68,86,86,86,86,86,86,86,86,86,86,86,0.264705882,26.47058824
68,86,86,86,86,86,86,86,86,86,86,86,0.264705882,26.47058824
68,68,68,68,68,68,68,68,68,68,68,68,0,0
69,86,86,86,86,86,86,86,86,86,86,86,0.246376812,24.63768116
67,86,86,86,86,86,86,86,86,86,86,86,0.28358209,28.35820896
66,68,68,68,68,68,68,68,68,68,68,68,0.03030303,3.03030303
66,86,86,86,86,86,86,86,86,86,86,86,0.303030303,30.3030303
63,68,68,68,68,68,68,68,68,68,68,68,0.079365079,7.936507937
63,86,86,86,86,86,86,86,86,86,86,86,0.365079365,36.50793651
68,68,68,68,68,68,68,68,68,68,68,68,0,0
70,68,68,68,68,68,68,68,68,68,68,68,0.028571429,2.857142857
70,86,86,86,86,86,86,86,86,86,86,86,0.228571429,22.85714286
68,86,86,86,86,86,86,86,86,86,86,86,0.264705882,26.47058824
66,86,86,86,86,86,86,86,86,86,86,86,0.303030303,30.3030303
66,68,68,68,68,68,68,68,68,68,68,68,0.03030303,3.03030303
68,86,86,86,86,86,86,86,86,86,86,86,0.264705882,26.47058824
70,68,68,68,68,68,68,68,68,68,68,68,0.028571429,2.857142857
68,86,86,86,86,86,86,86,86,86,86,86,0.264705882,26.47058824
68,86,86,86,86,86,86,86,86,86,86,86,0.264705882,26.47058824
68,68,68,68,68,68,68,68,68,68,68,68,0,0
66,86,86,86,86,86,86,86,86,86,86,86,0.303030303,30.3030303
68,86,86,86,86,86,86,86,86,86,86,86,0.264705882,26.47058824
70,86,86,86,86,86,86,86,86,86,86,86,0.228571429,22.85714286
70,68,68,68,68,68,68,68,68,68,68,68,0.028571429,2.857142857
68,86,86,86,86,86,86,86,86,86,86,86,0.264705882,26.47058824
68,68,68,68,68,68,68,68,68,68,68,68,0,0
70,86,86,86,86,86,86,86,86,86,86,86,0.228571429,22.85714286
70,68,68,68,68,68,68,68,68,68,68,68,0.028571429,2.857142857
68,86,86,86,86,86,86,86,86,86,86,86,0.264705882,26.47058824
69,86,86,86,86,86,86,86,86,86,86,86,0.246376812,24.63768116
68,86,86,86,86,86,86,86,86,86,86,86,0.264705882,26.47058824
68,86,86,86,86,86,86,86,86,86,86,86,0.264705882,26.47058824
71,68,68,68,68,68,68,68,68,68,68,68,0.042253521,4.225352113
71,68,68,68,68,68,68,68,68,68,68,68,0.042253521,4.225352113
74,86,86,86,86,86,86,86,86,86,86,86,0.162162162,16.21621622
73,86,86,86,86,86,86,86,86,86,86,86,0.178082192,17.80821918
75,68,68,68,68,68,68,68,68,68,68,68,0.093333333,9.333333333
74,68,68,68,68,68,68,68,68,68,68,68,0.081081081,8.108108108
70,86,86,86,86,86,86,86,86,86,86,86,0.228571429,22.85714286
67,68,68,68,68,68,68,68,68,68,68,68,0.014925373,1.492537313
68,86,86,86,86,86,86,86,86,86,86,86,0.264705882,26.47058824
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
70,86,86,86,86,86,86,86,86,86,86,86,0.228571429,22.85714286
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
73,86,86,86,86,86,86,86,86,86,86,86,0.178082192,17.80821918
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
73,86,86,86,86,86,86,86,86,86,86,86,0.178082192,17.80821918
70,68,68,68,68,68,68,68,68,68,68,68,0.028571429,2.857142857
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
72,68,68,68,68,68,68,68,68,68,68,68,0.055555556,5.555555556
74,86,86,86,86,86,86,86,86,86,86,86,0.162162162,16.21621622
75,68,68,68,68,68,68,68,68,68,68,68,0.093333333,9.333333333
73,86,86,86,86,86,86,86,86,86,86,86,0.178082192,17.80821918
70,86,86,86,86,86,86,86,86,86,86,86,0.228571429,22.85714286
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
72,86,86,86,86,86,86,86,86,86,86,86,0.194444444,19.44444444
76,86,86,86,86,86,86,86,86,86,86,86,0.131578947,13.15789474
76,86,86,86,86,86,86,86,86,86,86,86,0.131578947,13.15789474
75,86,86,86,86,86,86,86,86,86,86,86,0.146666667,14.66666667
80,68,68,68,68,68,68,68,68,68,68,68,0.15,15
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
72,86,86,86,86,86,86,86,86,86,86,86,0.194444444,19.44444444
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
71,68,68,68,68,68,68,68,68,68,68,68,0.042253521,4.225352113
70,68,68,68,68,68,68,68,68,68,68,68,0.028571429,2.857142857
72,86,86,86,86,86,86,86,86,86,86,86,0.194444444,19.44444444
70,86,86,86,86,86,86,86,86,86,86,86,0.228571429,22.85714286
72,68,68,68,68,68,68,68,68,68,68,68,0.055555556,5.555555556
71,86,86,86,86,86,86,86,86,86,86,86,0.211267606,21.12676056
75,68,68,68,68,68,68,68,68,68,68,68,0.093333333,9.333333333
76,68,68,68,68,68,68,68,68,68,68,68,0.105263158,10.52631579
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
76,86,86,86,86,86,86,86,86,86,86,86,0.131578947,13.15789474
74,68,68,68,68,68,68,68,68,68,68,68,0.081081081,8.108108108
76,86,86,86,86,86,86,86,86,86,86,86,0.131578947,13.15789474
79,86,86,86,86,86,86,86,86,86,86,86,0.088607595,8.860759494
82,86,86,86,86,86,86,86,86,86,86,86,0.048780488,4.87804878
83,68,68,68,68,68,68,68,68,68,68,68,0.180722892,18.07228916
84,86,86,86,86,86,86,86,86,86,86,86,0.023809524,2.380952381
81,68,68,68,68,68,68,68,68,68,68,68,0.160493827,16.04938272
85,86,86,86,86,86,86,86,86,86,86,86,0.011764706,1.176470588
83,68,68,68,68,68,68,68,68,68,68,68,0.180722892,18.07228916
78,68,68,68,68,68,68,68,68,68,68,68,0.128205128,12.82051282
81,86,86,86,86,86,86,86,86,86,86,86,0.061728395,6.172839506
82,68,68,68,68,68,68,68,68,68,68,68,0.170731707,17.07317073
83,68,68,68,68,68,68,68,68,68,68,68,0.180722892,18.07228916
83,68,68,68,68,68,68,68,68,68,68,68,0.180722892,18.07228916
83,68,68,68,68,68,68,68,68,68,68,68,0.180722892,18.07228916
82,86,86,86,86,86,86,86,86,86,86,86,0.048780488,4.87804878
83,86,86,86,86,86,86,86,86,86,86,86,0.036144578,3.614457831
83,86,86,86,86,86,86,86,86,86,86,86,0.036144578,3.614457831
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
81,86,86,86,86,86,86,86,86,86,86,86,0.061728395,6.172839506
83,86,86,86,86,86,86,86,86,86,86,86,0.036144578,3.614457831
83,86,86,86,86,86,86,86,86,86,86,86,0.036144578,3.614457831
82,86,86,86,86,86,86,86,86,86,86,86,0.048780488,4.87804878
76,68,68,68,68,68,68,68,68,68,68,68,0.105263158,10.52631579
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
82,86,86,86,86,86,86,86,86,86,86,86,0.048780488,4.87804878
81,86,86,86,86,86,86,86,86,86,86,86,0.061728395,6.172839506
80,68,68,68,68,68,68,68,68,68,68,68,0.15,15
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
81,86,86,86,86,86,86,86,86,86,86,86,0.061728395,6.172839506
78,68,68,68,68,68,68,68,68,68,68,68,0.128205128,12.82051282
75,86,86,86,86,86,86,86,86,86,86,86,0.146666667,14.66666667
82,86,86,86,86,86,86,86,86,86,86,86,0.048780488,4.87804878
83,68,68,68,68,68,68,68,68,68,68,68,0.180722892,18.07228916
81,86,86,86,86,86,86,86,86,86,86,86,0.061728395,6.172839506
82,86,86,86,86,86,86,86,86,86,86,86,0.048780488,4.87804878
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,57,57,57,57,57,57,57,57,57,57,57,0.337209302,33.72093023
85,86,86,86,86,86,86,86,86,86,86,86,0.011764706,1.176470588
84,86,86,86,86,86,86,86,86,86,86,86,0.023809524,2.380952381
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,86,86,86,86,86,86,86,86,86,86,86,0,0
85,68,68,68,68,68,68,68,68,68,68,68,0.2,20
84,86,86,86,86,86,86,86,86,86,86,86,0.023809524,2.380952381
86,68,68,68,68,68,68,68,68,68,68,68,0.209302326,20.93023256
88,68,68,68,68,68,68,68,68,68,68,68,0.227272727,22.72727273
89,86,86,86,86,86,86,86,86,86,86,86,0.033707865,3.370786517
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
86,68,68,68,68,68,68,68,68,68,68,68,0.209302326,20.93023256
90,68,68,68,68,68,68,68,68,68,68,68,0.244444444,24.44444444
89,86,86,86,86,86,86,86,86,86,86,86,0.033707865,3.370786517
90,86,86,86,86,86,86,86,86,86,86,86,0.044444444,4.444444444
89,86,86,86,86,86,86,86,86,86,86,86,0.033707865,3.370786517
90,68,68,68,68,68,68,68,68,68,68,68,0.244444444,24.44444444
83,68,68,68,68,68,68,68,68,68,68,68,0.180722892,18.07228916
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
84,68,68,68,68,68,68,68,68,68,68,68,0.19047619,19.04761905
88,68,68,68,68,68,68,68,68,68,68,68,0.227272727,22.72727273
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
89,86,86,86,86,86,86,86,86,86,86,86,0.033707865,3.370786517
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
90,68,68,68,68,68,68,68,68,68,68,68,0.244444444,24.44444444
90,68,68,68,68,68,68,68,68,68,68,68,0.244444444,24.44444444
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
88,68,68,68,68,68,68,68,68,68,68,68,0.227272727,22.72727273
82,68,68,68,68,68,68,68,68,68,68,68,0.170731707,17.07317073
81,86,86,86,86,86,86,86,86,86,86,86,0.061728395,6.172839506
78,86,86,86,86,86,86,86,86,86,86,86,0.102564103,10.25641026
82,86,86,86,86,86,86,86,86,86,86,86,0.048780488,4.87804878
83,68,68,68,68,68,68,68,68,68,68,68,0.180722892,18.07228916
80,68,68,68,68,68,68,68,68,68,68,68,0.15,15
85,86,86,86,86,86,86,86,86,86,86,86,0.011764706,1.176470588
84,86,86,86,86,86,86,86,86,86,86,86,0.023809524,2.380952381
86,68,68,68,68,68,68,68,68,68,68,68,0.209302326,20.93023256
84,68,68,68,68,68,68,68,68,68,68,68,0.19047619,19.04761905
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
89,86,86,86,86,86,86,86,86,86,86,86,0.033707865,3.370786517
90,68,68,68,68,68,68,68,68,68,68,68,0.244444444,24.44444444
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
85,68,68,68,68,68,68,68,68,68,68,68,0.2,20
84,68,68,68,68,68,68,68,68,68,68,68,0.19047619,19.04761905
86,86,86,86,86,86,86,86,86,86,86,86,0,0
84,68,68,68,68,68,68,68,68,68,68,68,0.19047619,19.04761905
82,68,68,68,68,68,68,68,68,68,68,68,0.170731707,17.07317073
86,86,86,86,86,86,86,86,86,86,86,86,0,0
80,86,86,86,86,86,86,86,86,86,86,86,0.075,7.5
80,86,86,86,86,86,86,86,86,86,86,86,0.075,7.5
86,86,86,86,86,86,86,86,86,86,86,86,0,0
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
88,68,68,68,68,68,68,68,68,68,68,68,0.227272727,22.72727273
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
88,86,86,86,86,86,86,86,86,86,86,86,0.022727273,2.272727273
90,86,86,86,86,86,86,86,86,86,86,86,0.044444444,4.444444444
90,86,86,86,86,86,86,86,86,86,86,86,0.044444444,4.444444444
90,68,68,68,68,68,68,68,68,68,68,68,0.244444444,24.44444444
90,68,68,68,68,68,68,68,68,68,68,68,0.244444444,24.44444444
86,68,68,68,68,68,68,68,68,68,68,68,0.209302326,20.93023256
81,68,68,68,68,68,68,68,68,68,68,68,0.160493827,16.04938272
82,86,86,86,86,86,86,86,86,86,86,86,0.048780488,4.87804878
81,86,86,86,86,86,86,86,86,86,86,86,0.061728395,6.172839506
83,86,86,86,86,86,86,86,86,86,86,86,0.036144578,3.614457831
84,86,86,86,86,86,86,86,86,86,86,86,0.023809524,2.380952381
86,86,86,86,86,86,86,86,86,86,86,86,0,0
86,86,86,86,86,86,86,86,86,86,86,86,0,0
84,68,68,68,68,68,68,68,68,68,68,68,0.19047619,19.04761905
